Date,Residual
2023-02-13,0.7982142857142804
2023-02-14,-0.01607142857142918
2023-02-15,0.20000000000000284
2023-02-24,1.1678571428571516
2023-02-25,0.06607142857142634
2023-02-25,0.09107142857143202
2023-02-26,0.2767857142857153
2023-02-27,0.19285714285714306
2023-02-28,0.4107142857142776
2023-03-01,-0.014285714285712459
2023-03-02,-0.060714285714290384
2023-03-03,-0.01607142857142918
2023-03-04,-0.3767857142857238
2023-03-05,-0.39642857142856514
2023-03-05,-0.3553571428571374
2023-03-06,-0.1160714285714235
2023-03-07,-0.2696428571428626
2023-03-08,-0.2875000000000085
2023-03-09,-0.39642857142857224
2023-03-10,-0.6482142857142819
2023-03-11,-0.6553571428571416
2023-03-12,0.03214285714285836
2023-03-13,-0.3660714285714306
2023-03-14,-0.19464285714285268
2023-03-15,0.060714285714290384
2023-03-16,0.44999999999999574
2023-03-17,0.17499999999999716
2023-03-18,-0.37142857142856656
2023-03-19,-0.11785714285713311
2023-03-20,0.4571428571428555
2023-03-21,0.4375
2023-03-22,0.37142857142857366
2023-03-23,0.39642857142856514
2023-03-24,0.16428571428571104
2023-03-25,0.4196428571428612
2023-03-26,0.44285714285714306
2023-03-27,0.2053571428571459
2023-03-28,-0.8303571428571459
2023-03-29,-0.45178571428571246
2023-03-30,0.046428571428577925
2023-03-31,0.08392857142857224
2023-04-01,-0.8035714285714306
2023-04-01,-0.8392857142857224
2023-04-02,0.17499999999999005
2023-04-03,-0.14821428571427475
2023-04-04,-0.30714285714284983
2023-04-05,-0.17321428571428754
2023-04-06,-0.24285714285714732
2023-04-07,0.09642857142856798
2023-04-08,0.3035714285714235
2023-04-09,0.20000000000000284
2023-04-10,0.26249999999999574
2023-04-11,0.11785714285714022
2023-04-12,-0.03750000000000142
2023-04-13,0.014285714285719564
2023-04-14,0.14107142857142918
2023-04-15,0.31785714285714306
2023-04-16,0.9232142857142875
2023-04-17,0.5696428571428598
2023-04-18,0.10178571428571104
2023-04-19,0.33571428571428896
2023-04-20,0.2232142857142918
2023-04-21,0.25357142857143344
2023-04-22,-0.16250000000000142
2023-04-23,-0.0625
2023-04-24,-0.10892857142857792
2023-04-25,-0.8892857142857196
2023-04-26,-0.07500000000000284
2023-04-27,-0.20892857142857224
2023-04-28,-0.3553571428571374
2023-04-28,-0.3464285714285751
2023-04-29,-0.0625
2023-04-30,-0.10000000000000142
2023-05-01,0.17500000000000426
2023-05-02,0.27321428571428186
2023-05-03,0.10892857142856371
2023-05-04,0.6660714285714278
2023-05-05,-0.6571428571428584
2023-05-06,0.1607142857142847
2023-05-07,0.12678571428572383
2023-05-08,-0.5160714285714221
2023-05-08,-0.5303571428571416
2023-05-08,-0.5696428571428598
2023-05-09,-0.1071428571428541
2023-05-10,-0.0803571428571388
2023-05-11,-0.21071428571428186
2023-05-12,0.014285714285705353
2023-05-13,-0.8160714285714334
2023-05-14,0.15714285714285836
2023-05-15,0.36071428571428044
2023-05-16,-0.21964285714285836
2023-05-17,0.11071428571429465
2023-05-18,0.43214285714284983
2023-05-19,0.4178571428571445
2023-05-20,-0.1803571428571331
2023-05-20,-0.21250000000000568
2023-05-21,0.29999999999999716
2023-05-22,0.07857142857143629
2023-05-23,-0.3285714285714221
2023-05-24,0.11071428571428044
2023-05-25,-0.09642857142857508
2023-05-26,0.2571428571428527
2023-05-27,0.23928571428571388
2023-05-28,0.5982142857142918
2023-05-29,0.6589285714285751
2023-05-30,0.43392857142856656
2023-05-31,0.12321428571428328
2023-06-01,-0.2874999999999943
2023-06-02,0.016071428571436286
2023-06-03,-0.4839285714285779
2023-06-04,-0.3660714285714164
2023-06-05,-0.37142857142858077
2023-06-06,-0.7660714285714221
2023-06-07,-0.7749999999999915
2023-06-08,-0.6500000000000057
2023-06-09,-0.3839285714285694
2023-06-10,-0.20714285714285552
2023-06-11,0.6857142857142975
2023-06-12,0.11428571428571388
2023-06-13,0.11964285714284983
2023-06-14,0.0625
2023-06-14,0.048214285714280436
2023-06-15,0.4928571428571473
2023-06-16,0.5607142857142691
2023-06-17,0.6124999999999972
2023-06-18,1.0357142857142776
2023-06-19,0.2875000000000085
2023-06-20,-0.2946428571428612
2023-06-21,-0.07500000000000284
2023-06-22,0.5553571428571473
2023-06-23,0.2321428571428612
2023-06-24,0.20178571428571956
2023-06-25,-0.7285714285714278
2023-06-26,-0.3142857142857167
2023-06-27,-0.29107142857142776
2023-06-28,-0.5
2023-06-29,-0.4214285714285637
2023-06-30,-0.13928571428570535
2023-07-01,-0.9357142857142833
2023-07-02,-0.08749999999999147
2023-07-03,0.1607142857142918
2023-07-04,-0.31785714285715017
2023-07-05,-0.2410714285714306
2023-07-06,-0.2428571428571331
2023-07-07,0.03214285714285836
2023-07-08,-0.2857142857142776
2023-07-09,0.4464285714285694
2023-07-10,0.5285714285714249
2023-07-11,0.17142857142856371
2023-07-12,-0.3678571428571473
2023-07-13,0.36249999999999716
2023-07-14,0.3214285714285694
2023-07-15,-0.2928571428571445
2023-07-16,0.26071428571430033
2023-07-24,-0.46964285714285836
2023-07-25,-0.3196428571428527
2023-07-26,-0.2589285714285694
2023-07-27,-0.24464285714286405
2023-08-07,0.07321428571430033
2023-08-08,-0.22142857142857508
2023-08-09,0.2607142857142861
2023-08-10,0.6839285714285666
2023-08-11,0.4124999999999943
2023-08-12,-0.34285714285714164
2023-08-13,0.5892857142857082
2023-08-14,0.0535714285714306
2023-08-15,-0.17678571428571388
2023-08-23,0.125
2023-08-24,-0.13750000000000284
2023-08-25,-0.09285714285714164
